Name,Position,PC1,PC2
L. Messi,RF,6.121773676765432,-4.360773310058457
Cristiano Ronaldo,ST,5.44077272663794,-3.052127333812349
Neymar Jr,LW,6.430654611171715,-4.3352944898145855
De Gea,GK,-0.788990467418438,-0.4135066758926432
K. De Bruyne,RCM,6.817379156101666,-1.4330164718404226
E. Hazard,LF,5.976873389369802,-3.26542838261183
L. Modri?,RCM,5.982116503105582,-0.45143827751699167
L. Suárez,RS,5.60866102866816,-1.9805944002330804
Sergio Ramos,RCB,4.699369737697597,1.6068093919669273
J. Oblak,GK,-1.8858990067219377,-0.291175983593638
R. Lewandowski,ST,5.1562102931236495,-2.0814327350617416
T. Kroos,LCM,5.664755522648617,0.15187680793702565
D. Godín,CB,3.3157987380627563,2.296953221199211
David Silva,LCM,4.477799594786039,-1.8736723140521303
N. Kanté,LDM,6.100915478919843,0.9450007850214959
P. Dybala,LF,5.29135319040553,-3.5089891267703535
H. Kane,ST,5.217497140209563,-2.20050340296296
A. Griezmann,CAM,5.357464296342032,-2.893111015152239
M. ter Stegen,GK,-2.151744759864286,-0.05093197512889276
T. Courtois,GK,-2.4554319120134696,-0.3077565346625701
Sergio Busquets,CDM,4.882260780018127,1.2503276636665837
E. Cavani,LS,4.775663643935931,-1.5974980311585
M. Neuer,GK,-1.4022682347882418,-0.07768508217370743
S. Agüero,ST,4.20451717092856,-3.3265333596631788
G. Chiellini,LCB,2.345114462905789,2.6052895700034893
K. Mbappé,RM,5.629071648562584,-3.0686257639252155
M. Salah,RM,5.555504273915697,-2.295969388176976
Casemiro,CDM,5.118606503276289,1.7262328227013066
J. Rodríguez,LAM,4.583107163506394,-1.799089923627291
L. Insigne,LW,3.951877168383778,-3.862591701271451
Isco,LW,5.263051794962185,-1.442434514515411
C. Eriksen,CAM,5.569905636789735,-1.702113934985798
Coutinho,LW,5.0784467236346424,-1.9772838541243174
P. Aubameyang,LM,4.400013735515495,-2.5183528619701927
M. Hummels,LCB,3.937634553257846,1.8578234521521977
Marcelo,LB,5.538449002596691,0.5232234255151175
G. Bale,ST,5.401491859657568,-1.5318757717186613
H. Lloris,GK,-2.478102617495254,-0.9717547168320525
G. Higuaín,LS,3.410072326387997,-2.717960775050446
Thiago Silva,RCB,3.124190817432997,2.232184925106153
S. Handanovi?,GK,-3.0398167698800025,-0.027049363974599665
G. Buffon,GK,-3.6731219641649515,0.24147442530867685
S. Umtiti,CB,4.677637391937488,1.556857691533247
M. Icardi,ST,3.560852078415656,-2.9368441656247697
K. Koulibaly,LCB,3.3817064616184522,2.6228451187191513
P. Pogba,RDM,5.696351717059767,-0.12142937039716234
K. Navas,GK,-3.070376402846678,0.016798051259178912
R. Lukaku,ST,4.525858263455159,-2.2491342224693818
C. Immobile,ST,4.081036955333475,-2.342366942564198
Jordi Alba,LB,5.292206491652865,-0.14732366282257045
D. Mertens,RF,3.8316895461428118,-3.334907490050388
J. Vertonghen,LCB,3.7204262162271817,1.629803264799493
M. Hamšík,LCM,4.867578571862647,-0.3471691289845789
I. Rakiti?,RCM,4.699171529424212,-0.16015969272155203
Piqué,RCB,3.270002167288608,1.75376993600269
L. Sané,LW,4.550897021692432,-2.8901076795757654
Bernardo Silva,RW,4.332000192095588,-2.425472880765515
Ederson,GK,-1.4916181157865565,-0.4821660331632131
S. Mané,LM,4.487943414221173,-2.61460515688781
V. van Dijk,LCB,4.137150113520708,1.7632251994868595
R. Sterling,RW,4.52255822745019,-2.7537181909475605
Roberto Firmino,CAM,5.266420717495054,-1.0746939608229569
R. Varane,RCB,3.8855937092185453,1.6382053253040418
M. Verratti,LCM,4.824806902546409,0.07187087362491232
Alex Sandro,LB,4.839938507526411,0.9146196855759532
Douglas Costa,LM,4.234319418651316,-2.2029926448071424
T. Müller,CAM,4.16144340954903,-1.517415719961429
Thiago,CM,4.483884107866771,-0.5739948999294563
M. Reus,LM,4.140942055813454,-2.2784023106335924
Azpilicueta,RB,4.14727060191246,1.5152176392493426
L. Bonucci,RCB,3.2849398413284225,1.9807188754443472
T. Alderweireld,RCB,3.513451235194521,1.9676244090487052
M. Pjani?,CDM,4.387815219934482,0.23677266805603894
M. Benatia,CB,2.9992412145694147,2.0682660923478853
M. Özil,CAM,2.707249682716824,-3.051118690270765
Fernandinho,CDM,3.838253785600664,1.2119150475982605
Iniesta,LF,2.9069218120368556,-0.883218835752238
M. Škriniar,LCB,3.580380596084691,1.9311756266942353
S. Milinkovi?-Savi?,CM,5.31407596962782,0.4573314336096855
Marco Asensio,RW,4.241170265156466,-2.343841631030887
N. Fekir,CAM,4.102575976903732,-2.1663382944423777
Alisson,GK,-2.6281747222165976,-0.06759639546649333
J. Kimmich,RCM,4.459975520490613,0.3787731054782376
Saúl,RCM,5.243989957246074,0.19257065342790575
R. Mahrez,RW,3.591246641265609,-2.8825662168774824
D. Alaba,LB,4.82977096659219,0.47265297575599124
Koke,LM,4.791585471449289,0.02830533461732794
A. Lacazette,ST,4.132495724318293,-2.096984008538134
K. Manolas,LCB,2.580320241353166,2.5036589999823526
N. Otamendi,CB,2.549234605156594,1.9215391342912438
Parejo,RCM,3.8141816225108003,0.575451581696145
Paulinho,LDM,5.084672020291878,0.5379244985472152
W. Szcz?sny,GK,-3.278660140153337,-0.1784977781782957
A. Sánchez,RW,3.785482869021246,-1.6475063687060947
Y. Brahimi,LM,3.4959477168763136,-2.6713241256496927
J. Boateng,RCB,2.9384016436838287,2.263009162930174
A. Vidal,CAM,3.927373723396495,1.322636540850265
I. Periši?,LM,4.68874992703858,-0.8112792303756368
E. Džeko,ST,2.887391065237628,-1.420349946791123
S. Khedira,RCM,4.293719803062251,1.3327511828159144
Diego Costa,LS,3.1072471291526407,-1.251746942525407
R. Nainggolan,CAM,5.027143298164557,0.8275491371479957
Naldo,CB,2.20865121082087,1.9413941124134155
B. Matuidi,LM,4.554292895323439,1.031187798005594
Miranda,CB,2.3753829663779635,2.008466731240772
K. Benzema,ST,2.910551235390346,-2.6066763710335037
Filipe Luís,LB,3.9917522238652525,1.1088938896008034
V. Kompany,CB,2.360747179379236,2.2154629488795377
Pepe,RCB,1.9020955984441559,2.1906789686095913
Z. Ibrahimovi?,RS,1.6252416847434117,-1.5145597677599512
D. Sánchez,RCB,3.4695364467474286,1.7273717998500644
J. Giménez,RCB,2.4166122322013224,2.3357666858959636
Alex Telles,LB,4.784460016371719,0.2671945409219294
A. Laporte,LCB,2.9412951220742936,1.9615416373033157
Bruno Fernandes,LCM,4.614831070150073,-0.46066146612902825
N. Süle,CB,2.6901900126670486,2.62542987452275
A. Martial,LW,3.927864700048008,-2.1317315185318435
D. Alli,LCM,5.019694326726048,-0.3763136059072036
Fabinho,CDM,4.6474483344085575,1.1230416085118013
Marquinhos,LDM,3.313437793785248,1.7824842254717264
William Carvalho,CDM,3.8782803984211434,2.0492090146504633
Jorginho,CM,4.212313235556618,0.45081312779747057
F. Thauvin,RM,3.690538692705484,-2.319756025392086
Carvajal,RB,4.058566872439501,1.1709096673943056
M. Depay,ST,3.6599898477464543,-2.3136525138410833
H. Son,LM,3.8584623458348735,-2.600986946996586
A. Lopes,GK,-2.9071356062980724,-0.13436179689182454
S. de Vrij,CB,2.536195534136619,2.318491229221469
M. Perin,GK,-3.4179172490409515,-0.8189510065103189
J. Cuadrado,RAM,4.169394666964143,-0.9878862457335279
Iago Aspas,ST,2.9645713092275208,-2.8322385358558013
B. Leno,GK,-2.763460142677159,0.035524256768995274
N. Mati?,CDM,3.958243570566269,1.611227433720256
L. Hrádecký,GK,-4.585524102602891,-0.3055885513280305
Illarramendi,RDM,3.9506657500265914,0.8805457478403965
K. Walker,RB,4.320384968811665,0.8331585438939767
I. Gündo?an,CM,3.9400277502031162,0.02810474986089266
José Callejón,RM,3.4642665689764787,-2.5643125899684494
A. Di María,RM,3.369656841788989,-1.7603856774026814
M. Mandžuki?,ST,3.6957781626526236,0.01451406720324425
Willian,RW,4.05496028951415,-1.5203124053924004
Sergio Asenjo,GK,-2.9397871006734877,0.09033843274584998
E. Banega,CDM,3.7022811115503256,0.16470308479396206
A. Witsel,LCM,4.401656259175892,0.8335681270024871
D. Payet,CAM,2.9566049233333502,-1.8238435684561582
Jonas,ST,2.0030851850938696,-2.116581627168205
Sokratis,RCB,2.2247951254220406,1.9577291256747025
S. Ruffier,GK,-3.5654747124761657,0.41619388042060423
Falcao,RS,2.510906598937287,-1.3804947519638782
K. Schmeichel,GK,-3.2117200879315355,-0.28932422788835926
Raúl Albiol,RCB,1.4861262090582696,2.7555962719057536
A. Gómez,LS,3.1443835677708645,-2.9196588473200284
A. Barzagli,CB,1.4110396960711113,2.6792074571622604
Quaresma,RM,1.7370794253949604,-3.022993812979997
A. Robben,RM,2.3798587820783257,-2.405954318420713
O. Dembélé,RW,3.4041339987877763,-3.34663815871316
Gabriel Jesus,ST,3.5462505339686823,-2.8165739344833
Ronaldo Cabrais,RW,3.5600296802719447,-1.9782429934046202
Josué Chiamulera,LCB,2.778275778775044,1.7863911999573185
Louri Beretta,ST,2.2642088522613877,-1.9584656375642657
P. Kimpembe,LCB,3.2352313014665395,2.0656781996208777
N. Keïta,CM,4.012964999440614,-0.46346806808207863
C. Tolisso,CM,4.333707990246484,0.5664756426711284
T. Lemar,LM,4.238965369816587,-1.0679747804314692
K. Coman,LM,2.9683538153891673,-3.3777262414090443
J. Tah,CB,2.4299420418843143,2.63555907623358
Anderson Talisca,CAM,3.931921444978643,-0.8377131086344646
T. Werner,RW,3.471443022862781,-3.1703389471232177
A. Rabiot,CM,4.456205532584838,0.7561803312812058
L. Goretzka,CM,4.706301247240631,0.2912590362890648
Q. Promes,RM,3.43265538108504,-2.8929176154974083
H. Ziyech,RAM,3.99982798577977,-0.6984218590478556
Lucas Vázquez,RW,3.5201074905206697,-1.6889367430628737
Y. Carrasco,LM,3.009486488936742,-2.998395452540445
Gerard Moreno,LS,3.1120081811913223,-1.7579287578846448
Felipe,RCB,2.5747143670838106,2.2832718680755657
M. Kova?i?,LCM,4.422841388863856,0.10431778278133082
Kepa,GK,-3.9278488648282597,-0.040600547997880605
Manu Trigueros,RCM,3.689800556530215,-0.10134678857729915
S. Gnabry,ST,3.532220265941729,-2.1540013045612807
J. Pickford,GK,-2.420339155046268,0.23604314234335416
S. Savi?,CB,1.6637454688234334,2.2621166641862525
J. Stones,RCB,3.194784681838672,1.8820066579703385
Suso,RW,2.7569257152600275,-3.0293821701139034
J. Draxler,CM,3.929298360398555,-0.8428159840787793
Felipe Anderson,LM,3.94235476518788,-1.3481345517863108
Lucas Moura,RM,3.549800244177914,-2.138453807436325
Danilo Pereira,CDM,4.040149718604891,1.6027170373726438
Nacho Fernández,CB,2.967575916056744,1.97636007699022
T. Horn,GK,-3.3785790079179745,-0.1650398008196651
Allan,RCM,4.83283626443541,0.9105328189166221
